"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.371150691E0,1.685007477E1,-8.427261353E0,-8.415903091E0,2.063422348E1
1.381149691E0,1.045774269E1,-1.107223320E1,-8.532341003E0,1.745736444E1
1.391148757E0,2.374053478E0,-1.414232445E1,-8.260388374E0,1.654918387E1
1.401147823E0,-1.393457294E0,-1.690666389E1,-8.937979698E0,1.917457922E1
1.411146923E0,-7.849048615E0,-1.962088966E1,-9.992186546E0,2.337585650E1
1.421145989E0,-1.867861176E1,-1.913350105E1,-9.698131561E0,2.844354330E1
1.431145055E0,-1.789059639E1,-1.880262756E1,-9.528104782E0,2.764773089E1
1.441144121E0,-4.603825378E1,-1.277389145E1,-2.989206791E0,4.787095645E1
1.451143187E0,-4.701501465E1,-1.148633575E1,-2.057431698E0,4.844151666E1
1.461142187E0,-4.217321014E1,-1.249687290E1,-4.169511795E-2,4.398582982E1
1.471141253E0,-3.469070053E1,-1.608071899E1,-4.398212433E-1,3.823908562E1
1.481140286E0,-2.830931473E1,-1.826096916E1,4.235353470E-1,3.369064673E1
1.491139286E0,-2.631346893E1,-1.976641273E1,3.133338928E0,3.305945451E1
1.501138352E0,-2.445237541E1,-2.263378143E1,5.632903099E0,3.379254833E1
1.511137418E0,-1.947439766E1,-2.600640678E1,5.708844185E0,3.298751673E1
1.521136484E0,-1.465806389E1,-2.901499176E1,2.892374039E0,3.263578422E1
1.531135550E0,-6.428472042E0,-3.194157028E1,-1.324094296E0,3.260893115E1
1.541134583E0,7.615183353E0,-3.242862320E1,-7.337086201E0,3.410922828E1
1.551133616E0,2.311421204E1,-2.759791374E1,-1.072463417E1,3.756234044E1
1.561132549E0,3.443207550E1,-1.667348480E1,-1.022543621E1,3.959965233E1
1.571131415E0,3.378946304E1,-1.669250679E1,-1.007419109E1,3.901098463E1
1.581130281E0,3.372628021E1,-3.073438168E0,3.381972313E-1,3.386771880E1
1.591129114E0,3.203890610E1,2.020987511E0,4.209940434E0,3.237745347E1
1.601127880E0,3.459989166E1,5.568928242E0,5.082663536E0,3.541184736E1
1.611126680E0,3.854732895E1,6.932873726E0,2.253982544E0,3.923062254E1
1.621125413E0,3.960974121E1,5.855401516E0,-7.179403305E-2,4.004026074E1
1.631124079E0,3.809788513E1,4.017750740E0,-2.198781967E0,3.837220107E1
1.641122812E0,3.520900726E1,1.683628082E0,-2.079880714E0,3.531054658E1
1.651121545E0,3.057196617E1,-1.903962374E0,-2.621297836E0,3.074315193E1
1.661120278E0,2.577202606E1,-4.961789608E0,-3.262178421E0,2.644727758E1
1.671119011E0,2.051819611E1,-8.085385323E0,-4.391984463E0,2.248687072E1
1.681117744E0,1.486129475E1,-1.115408134E1,-6.049014091E0,1.954129432E1
1.691116444E0,7.912543297E0,-1.386203671E1,-7.259938240E0,1.753485404E1
1.701115210E0,4.080821037E0,-1.605619621E1,-7.528571606E0,1.819708569E1
1.711113910E0,6.722300053E-1,-2.002796936E1,-8.749673843E0,2.186614374E1
1.721112676E0,-6.605951309E0,-2.187215042E1,-1.028462410E1,2.505599828E1
1.731111442E0,-1.873543358E1,-2.062406349E1,-1.259727955E1,3.057874946E1
1.741110142E0,-3.035848999E1,-1.728506660E1,-1.370104218E1,3.752505828E1
1.751108908E0,-4.356182480E1,-1.238333702E1,-1.050460720E1,4.649006763E1
1.761107674E0,-4.724256897E1,-1.315713501E1,-6.155738831E0,4.942533404E1
1.771106440E0,-4.367299652E1,-1.566993141E1,-7.549562454E-1,4.640525115E1
1.781105273E0,-3.450047684E1,-2.053623009E1,4.171592236E0,4.036609753E1
1.791104039E0,-2.853443909E1,-2.385864639E1,8.010797501E0,3.804762934E1
1.801102805E0,-2.435520744E1,-2.631888771E1,1.217276001E1,3.786866866E1
1.811101571E0,-1.872175407E1,-2.854590988E1,1.348228073E1,3.670347314E1
1.821100271E0,-1.235766697E1,-2.931649399E1,1.002328300E1,3.335618316E1
1.831099037E0,-4.460138321E0,-2.934772110E1,4.306159019E0,2.999540920E1
1.841097803E0,6.703340054E0,-2.802292633E1,-1.419213772E0,2.884845465E1
1.851096503E0,2.035389709E1,-2.363790131E1,-5.778207779E0,3.172411055E1
1.861095269E0,3.221416092E1,-1.468910694E1,-8.229705811E0,3.634900390E1
1.871094035E0,3.468342209E1,-5.352821350E0,-5.437623978E0,3.551281767E1
1.881092735E0,3.336595535E1,-4.823489189E-1,1.737718582E-1,3.336989412E1
1.891091501E0,3.298483658E1,4.399349689E0,2.977017879E0,3.340982426E1
1.901090267E0,3.387212753E1,8.813882828E0,5.116748810E-2,3.500011675E1
1.911089033E0,3.498959732E1,9.569441795E0,-4.908071518E0,3.660512673E1
1.921087766E0,3.500014114E1,9.114674568E0,-7.141787529E0,3.686586906E1
1.931086532E0,3.378224182E1,5.790433407E0,-9.418255806E0,3.554535868E1
1.941085298E0,2.941053581E1,2.659500122E0,-9.414218903E0,3.099483949E1
1.951084064E0,2.447978020E1,-2.274737358E-1,-9.420103073E0,2.623070195E1
1.961082764E0,1.941440010E1,-3.743768454E0,-1.017500782E1,2.223658062E1
1.971081530E0,1.457725143E1,-7.354073048E0,-1.039640999E1,1.935623906E1
1.981080263E0,8.264076233E0,-1.209677696E1,-1.110192585E1,1.838150501E1
1.991078996E0,-1.804909706E-1,-1.733035469E1,-1.272422981E1,2.150069290E1
2.001077729E0,3.521720171E-1,-2.202030945E1,-8.722880363E0,2.368769079E1
2.011076462E0,-1.433427715E1,-2.497807884E1,-1.008771324E1,3.051455198E1
2.021075195E0,-3.028038406E1,-2.361123276E1,-6.309121132E0,3.891268406E1
2.031073928E0,-4.276354218E1,-1.745697594E1,-3.303093195E0,4.630741812E1
2.041072661E0,-4.621265793E1,-1.532964516E1,-7.269010544E-1,4.869431341E1
2.051071394E0,-4.163838959E1,-1.723236084E1,1.737516880E0,4.509688140E1
2.061070127E0,-3.775943756E1,-1.831180382E1,5.490372181E0,4.232306074E1
2.071068793E0,-3.140217400E1,-1.996016312E1,9.185337067E0,3.832590586E1
2.081067526E0,-2.751623726E1,-2.113337708E1,1.086190510E1,3.635579626E1
2.091066259E0,-2.320363426E1,-2.333491325E1,1.089798927E1,3.466544374E1
2.101064959E0,-1.847149086E1,-2.513137817E1,8.790849686E0,3.240464753E1
2.111063725E0,-1.327681065E1,-2.742120171E1,4.432896614E0,3.078711705E1
2.121062491E0,-3.552481413E0,-3.052446365E1,-2.083262444E0,3.080102251E1
2.131061191E0,1.131279659E1,-3.078654289E1,-8.335855484E0,3.384194257E1
2.141059924E0,2.952839851E1,-2.544608116E1,-1.291322803E1,4.106313217E1
2.151058690E0,4.203548431E1,-1.206669426E1,-1.519023132E1,4.629611409E1
2.161057456E0,4.326053619E1,-2.707448244E0,-1.031013012E1,4.455449529E1
2.171056222E0,3.400943756E1,2.170403481E0,-1.261709213E0,3.410197069E1
2.181054988E0,3.090353203E1,7.360857964E0,1.022283077E0,3.178451800E1
2.191053754E0,3.202513123E1,1.062880707E1,-2.719182968E-1,3.374395515E1
2.201052520E0,3.545416260E1,9.735399246E0,-4.302285671E0,3.701736492E1
2.211051186E0,3.493444061E1,8.395042419E0,-6.023420334E0,3.643039213E1
2.221049986E0,3.318496323E1,5.292987347E0,-5.040633202E0,3.398036907E1
2.231048752E0,2.884318542E1,1.287247181E0,-4.651495457E0,2.924419191E1
2.241047452E0,2.558458328E1,-1.805488586E0,-4.999764442E0,2.613098420E1
2.251046218E0,1.995400620E1,-5.867521286E0,-6.156861305E0,2.169094536E1
2.261044984E0,1.466930294E1,-9.839231491E0,-7.195919514E0,1.907302238E1
2.271043750E0,8.750513077E0,-1.394731712E1,-7.731499195E0,1.818997564E1
2.281042550E0,2.968824387E0,-1.793340492E1,-7.688113213E0,1.973646410E1
2.291041316E0,-5.454679489E0,-2.396266747E1,-7.393677235E0,2.566377648E1
2.301040082E0,-1.589460850E1,-2.527352333E1,-6.461450577E0,3.054733874E1
2.311038848E0,-3.189707947E1,-2.372884178E1,-4.103582382E0,3.996649846E1
2.321037548E0,-4.694130707E1,-1.861269188E1,-4.625220299E-1,5.049883697E1
